id,address,name,latitude,longitude,googleMapsUri,websiteUri,type,district
ChIJFenUkqRYzpQREAe4mj0aX2s,"R. Antônio Pontes, 170 - e 180 - Vila Guilherme, São Paulo",Colégio Rocha Cardoso,-23.5084101,-46.6065906,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce58a492d4e915:0x6b5f1a3d9ab80710!10e5,http://www.colegiorochacardoso.com.br/,school,Vila Guilherme São Paulo
ChIJl2P8UKVYzpQRG6KbFeerBeE,"R. Lagoa Panema, 466 - Vila Guilherme, São Paulo",Colegio Amorim Santa Teresa,-23.504324,-46.6048683,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce58a550fc6397:0xe105abe7159ba21b!10e5,http://www.colegioamorim.com.br/,school,Vila Guilherme São Paulo
ChIJr0BcNbJYzpQRYPoRgBoWloU,"R. Maria Cândida, 1936 - Vila Guilherme, São Paulo",Escola Estadual Afranio Peixoto,-23.5087124,-46.5967705,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce58b2355c40af:0x8596161a8011fa60!10e5,,school,Vila Guilherme São Paulo
ChIJp3AM9rtYzpQR-QlJdweCk-M,"Rua José Bernardo Pinto, 758 - Vila Guilherme, São Paulo","Escola Estadual Anésia Sincorá, Profª.",-23.5161107,-46.6049257,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce58bbf60c70a7:0xe3938207774909f9!10e5,http://www.educacao.sp.gov.br/cgrh/escolas/anesia-sincora-professora/,school,Vila Guilherme São Paulo
ChIJZ5mZlrxYzpQRwogV8WK_lRA,"R. Amazonas da Silva, 893 - Vila Guilherme, São Paulo",EMEF Oliva Irene Bayerlein Silva,-23.512028,-46.6089306,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce58bc96999967:0x1095bf62f11588c2!10e5,http://eolgerenciamento.prefeitura.sp.gov.br/frmgerencial/menuescola.aspx?Cod=094773,school,Vila Guilherme São Paulo
ChIJmwwbAqZYzpQRyedU-KqoAx8,"Av. Joaquina Ramalho, 1500 - Vila Guilherme, São Paulo",Colégio Dominante,-23.5036318,-46.6033203,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce58a6021b0c9b:0x1f03a8aaf854e7c9!10e5,http://cdominante.com.br/,school,Vila Guilherme São Paulo
ChIJBX8y2rFYzpQRfNctVHkhxDM,"Av. Guilherme, 1819 - Vila Guilherme, São Paulo",Clube Escola Vila Guilherme,-23.5078652,-46.5998475,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce58b1da327f05:0x33c42179542dd77c!10e5,https://www.prefeitura.sp.gov.br/cidade/secretarias/regionais/vila_maria_vila_guilherme/noticias/?p=10378,school,Vila Guilherme São Paulo
ChIJyTmFMaFYzpQRT4keywjd3OU,"R. Maria Cândida, 696 - Vila Guilherme, São Paulo",Centro de Recreação Infantil Mundo Doce,-23.5041661,-46.6081503,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce58a1318539c9:0xe5dcdd08cb1e894f!10e5,https://escolamundodoce.com.br/,school,Vila Guilherme São Paulo
ChIJDT8YE8lYzpQRDl2jpIBBUYw,"R. Eugênio de Freitas, 650 A - Vila Guilherme, São Paulo",Cei Josephina Santos Maia,-23.5201955,-46.601284,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce58c913183f0d:0x8c514180a4a35d0e!10e5,,school,Vila Guilherme São Paulo
ChIJp-v-q61ZzpQRNGk2uXXlPXU,"R. Maria Cândida, 1813 - Vila Guilherme, São Paulo",Colégio Cívico-Militar Tobias de Aguiar,-23.5071402,-46.5981647,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce59adabfeeba7:0x753de575b9366934!10e5,https://colegiotobiasaguiar.com.br/,school,Vila Guilherme São Paulo
